	Name	1	2	3	4	5	6	7	8	9	10
0	box_loc_1	1	1	1	1	1	1	1	1	1	1
1	box_loc_2	1	1	1	1	1	2	2	1	1	1
2	box_loc_3	1	1	1	2	2	3	3	2	2	2
3	box_loc_4	1	2	2	1	3	4	2	3	3	3
4	box_loc_5	1	2	3	3	1	5	4	3	3	4
5	box_loc_7	1	2	2	1	1	3	3	4	4	5
6	box_loc_8	1	1	1	2	2	3	3	1	1	5
7	box_loc_9	1	2	2	4	3	4	5	5	5	6
8	box_loc_11	1	1	1	1	1	5	6	6	6	7
9	box_loc_12	1	1	2	4	4	2	7	7	7	8
10	box_loc_13	1	2	2	4	5	6	6	6	8	9
11	box_loc_14	1	1	1	2	2	1	1	2	9	10
12	box_loc_15	1	2	3	3	5	6	4	8	8	5
13	box_loc_17	1	1	2	4	4	2	7	7	7	8
14	box_loc_18	1	1	1	2	2	1	1	2	9	10
15	box_loc_19	1	2	3	3	3	4	5	5	5	6
